Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02 05:00:00+00:00,14873.7001953125,14887.7998046875,14682.3798828125,14765.9404296875,5791170000,0.0,0.0
2024-01-03 05:00:00+00:00,14641.4697265625,14694.580078125,14577.4404296875,14592.2099609375,5449950000,0.0,0.0
2024-01-04 05:00:00+00:00,14532.23046875,14632.76953125,14504.7802734375,14510.2998046875,5289220000,0.0,0.0
2024-01-05 05:00:00+00:00,14500.1103515625,14625.1904296875,14477.5703125,14524.0703125,5232820000,0.0,0.0
2024-01-08 05:00:00+00:00,14564.4697265625,14846.900390625,14560.2001953125,14843.76953125,6337770000,0.0,0.0
2024-01-09 05:00:00+00:00,14744.1298828125,14894.3203125,14716.7099609375,14857.7099609375,5068410000,0.0,0.0
2024-01-10 05:00:00+00:00,14877.7001953125,14998.2001953125,14842.7001953125,14969.650390625,4404590000,0.0,0.0
2024-01-11 05:00:00+00:00,15020.9501953125,15063.6103515625,14800.3798828125,14970.1904296875,5044690000,0.0,0.0
2024-01-12 05:00:00+00:00,15001.009765625,15047.25,14931.8798828125,14972.759765625,4958940000,0.0,0.0
2024-01-16 05:00:00+00:00,14908.259765625,15004.349609375,14863.8095703125,14944.349609375,6386180000,0.0,0.0
2024-01-17 05:00:00+00:00,14814.76953125,14865.759765625,14706.23046875,14855.6201171875,5181740000,0.0,0.0
2024-01-18 05:00:00+00:00,14994.51953125,15066.8095703125,14911.1103515625,15055.650390625,5587440000,0.0,0.0
2024-01-19 05:00:00+00:00,15122.3798828125,15310.9697265625,15087.2001953125,15310.9697265625,5604950000,0.0,0.0
2024-01-22 05:00:00+00:00,15393.0498046875,15438.849609375,15333.6298828125,15360.2900390625,5456240000,0.0,0.0
2024-01-23 05:00:00+00:00,15391.41015625,15432.349609375,15337.23046875,15425.9404296875,5207680000,0.0,0.0
2024-01-24 05:00:00+00:00,15560.6103515625,15629.0703125,15468.91015625,15481.919921875,4983210000,0.0,0.0
2024-01-25 05:00:00+00:00,15555.6201171875,15597.25,15430.6796875,15510.5,5281570000,0.0,0.0
2024-01-26 05:00:00+00:00,15474.849609375,15538.83984375,15433.0400390625,15455.3603515625,4510530000,0.0,0.0
2024-01-29 05:00:00+00:00,15470.66015625,15630.580078125,15449.8701171875,15628.0400390625,4979310000,0.0,0.0
2024-01-30 05:00:00+00:00,15604.080078125,15619.23046875,15484.669921875,15509.900390625,4719240000,0.0,0.0
2024-01-31 05:00:00+00:00,15324.1904296875,15405.5595703125,15158.490234375,15164.009765625,5875610000,0.0,0.0
2024-02-01 05:00:00+00:00,15254.01953125,15372.1298828125,15208.8798828125,15361.6396484375,5046920000,0.0,0.0
2024-02-02 05:00:00+00:00,15403.16015625,15664.2099609375,15366.7802734375,15628.9501953125,4800690000,0.0,0.0
2024-02-05 05:00:00+00:00,15613.990234375,15637.8798828125,15471.6796875,15597.6796875,4831020000,0.0,0.0
2024-02-06 05:00:00+00:00,15638.1904296875,15652.75,15515.25,15609.0,4759640000,0.0,0.0
2024-02-07 05:00:00+00:00,15690.349609375,15770.6796875,15645.8095703125,15756.6396484375,4567580000,0.0,0.0
2024-02-08 05:00:00+00:00,15762.23046875,15813.26953125,15739.1796875,15793.7099609375,5675850000,0.0,0.0
2024-02-09 05:00:00+00:00,15842.3798828125,16007.2900390625,15831.759765625,15990.66015625,5797260000,0.0,0.0
2024-02-12 05:00:00+00:00,15980.6201171875,16080.0703125,15917.8701171875,15942.5498046875,5458490000,0.0,0.0
2024-02-13 05:00:00+00:00,15598.8798828125,15770.419921875,15551.4404296875,15655.599609375,5599860000,0.0,0.0
2024-02-14 05:00:00+00:00,15781.7099609375,15865.509765625,15683.9404296875,15859.150390625,5092660000,0.0,0.0
2024-02-15 05:00:00+00:00,15865.2998046875,15911.2197265625,15779.7197265625,15906.169921875,6049100000,0.0,0.0
2024-02-16 05:00:00+00:00,15910.4296875,15917.41015625,15752.01953125,15775.650390625,5223800000,0.0,0.0
2024-02-20 05:00:00+00:00,15679.83984375,15730.4697265625,15508.5,15630.7802734375,5595700000,0.0,0.0
2024-02-21 05:00:00+00:00,15532.1201171875,15583.6796875,15451.650390625,15580.8701171875,4845740000,0.0,0.0
2024-02-22 05:00:00+00:00,15904.48046875,16061.8203125,15869.240234375,16041.6201171875,5653930000,0.0,0.0
2024-02-23 05:00:00+00:00,16094.7998046875,16134.2197265625,15954.5,15996.8203125,5077910000,0.0,0.0
2024-02-26 05:00:00+00:00,16014.4501953125,16054.900390625,15973.900390625,15976.25,5417630000,0.0,0.0
2024-02-27 05:00:00+00:00,16013.98046875,16046.099609375,15940.509765625,16035.2998046875,5423020000,0.0,0.0
2024-02-28 05:00:00+00:00,15969.1396484375,16003.5595703125,15924.7197265625,15947.740234375,5581690000,0.0,0.0
2024-02-29 05:00:00+00:00,16059.33984375,16115.9599609375,15931.7001953125,16091.919921875,6265340000,0.0,0.0
2024-03-01 05:00:00+00:00,16109.830078125,16302.240234375,16096.599609375,16274.9404296875,5457910000,0.0,0.0
2024-03-04 05:00:00+00:00,16264.2099609375,16289.0595703125,16199.0595703125,16207.509765625,5725470000,0.0,0.0
2024-03-05 05:00:00+00:00,16077.740234375,16087.5703125,15862.6298828125,15939.58984375,6356800000,0.0,0.0
2024-03-06 05:00:00+00:00,16092.0,16128.5595703125,15956.66015625,16031.5400390625,5511370000,0.0,0.0
2024-03-07 05:00:00+00:00,16147.3203125,16309.01953125,16096.009765625,16273.3798828125,5072790000,0.0,0.0
2024-03-08 05:00:00+00:00,16322.099609375,16449.69921875,16059.5,16085.1103515625,5411790000,0.0,0.0
2024-03-11 04:00:00+00:00,16052.6298828125,16085.9501953125,15978.0400390625,16019.26953125,4917620000,0.0,0.0
2024-03-12 04:00:00+00:00,16116.98046875,16275.4501953125,15992.98046875,16265.6396484375,5100330000,0.0,0.0
2024-03-13 04:00:00+00:00,16220.1103515625,16233.2998046875,16143.33984375,16177.76953125,4839000000,0.0,0.0
2024-03-14 04:00:00+00:00,16209.1904296875,16245.3203125,16039.6796875,16128.5302734375,5450980000,0.0,0.0
2024-03-15 04:00:00+00:00,16043.580078125,16055.330078125,15925.91015625,15973.169921875,8261950000,0.0,0.0
2024-03-18 04:00:00+00:00,16154.919921875,16247.58984375,16094.169921875,16103.4501953125,5025040000,0.0,0.0
2024-03-19 04:00:00+00:00,16031.9296875,16175.58984375,15951.8603515625,16166.7900390625,4758740000,0.0,0.0
2024-03-20 04:00:00+00:00,16185.759765625,16377.4404296875,16127.48046875,16369.41015625,5298380000,0.0,0.0
2024-03-21 04:00:00+00:00,16517.240234375,16538.859375,16393.900390625,16401.83984375,5134740000,0.0,0.0
2024-03-22 04:00:00+00:00,16387.830078125,16467.619140625,16361.0,16428.8203125,4339930000,0.0,0.0
2024-03-25 04:00:00+00:00,16335.2998046875,16441.169921875,16315.7197265625,16384.470703125,4636940000,0.0,0.0
2024-03-26 04:00:00+00:00,16446.849609375,16476.380859375,16312.9501953125,16315.7001953125,5144260000,0.0,0.0
2024-03-27 04:00:00+00:00,16424.759765625,16431.8203125,16279.169921875,16399.51953125,4768930000,0.0,0.0
2024-03-28 04:00:00+00:00,16377.23046875,16420.919921875,16347.3798828125,16379.4599609375,5174450000,0.0,0.0
2024-04-01 04:00:00+00:00,16397.05078125,16490.650390625,16327.8896484375,16396.830078125,4798390000,0.0,0.0
2024-04-02 04:00:00+00:00,16199.240234375,16251.41015625,16137.240234375,16240.4501953125,4710280000,0.0,0.0
2024-04-03 04:00:00+00:00,16178.7998046875,16340.740234375,16169.3095703125,16277.4599609375,5151500000,0.0,0.0
2024-04-04 04:00:00+00:00,16418.5703125,16468.0390625,16046.5595703125,16049.080078125,5368700000,0.0,0.0
2024-04-05 04:00:00+00:00,16095.400390625,16326.5,16080.48046875,16248.51953125,4578130000,0.0,0.0
